Time,Bucket,Size (GB)
2025-09-29 15:24:54.194759,test01,0.244140625
2025-09-29 15:24:54.194759,test02,0.244140625
2025-09-29 15:24:54.194759,test03,0.244140625
2025-09-29 15:24:54.194759,test04,0.048828125
2025-09-29 15:24:54.194759,test05,0.146484375
2025-09-29 15:24:54.194759,test06,0.0
2025-09-29 15:24:54.194759,test07,0.0
2025-09-29 15:25:24.186413,test01,0.244140625
2025-09-29 15:25:24.186413,test02,0.244140625
2025-09-29 15:25:24.186413,test03,0.244140625
2025-09-29 15:25:24.186413,test04,0.048828125
2025-09-29 15:25:24.186413,test05,0.146484375
2025-09-29 15:25:24.186413,test06,0.0
2025-09-29 15:25:24.186413,test07,0.0
2025-09-29 15:26:25.181909,test01,0.244140625
2025-09-29 15:26:25.181909,test02,0.244140625
2025-09-29 15:26:25.181909,test03,0.244140625
2025-09-29 15:26:25.181909,test04,0.048828125
